Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
1190000;	4.99728e-01;	2.60301e-04;	8.32603e-02;	6.38197e-05;	7.62206e-07;	7.62206e-10
1200000;	4.99752e-01;	2.59179e-04;	8.32634e-02;	6.33575e-05;	7.56882e-07;	7.56882e-10
1210000;	4.99748e-01;	2.57050e-04;	8.32637e-02;	6.28325e-05;	7.51674e-07;	7.51674e-10
1220000;	4.99778e-01;	2.56661e-04;	8.32611e-02;	6.23673e-05;	7.46320e-07;	7.46320e-10
1230000;	4.99772e-01;	2.54628e-04;	8.32640e-02;	6.19234e-05;	7.41095e-07;	7.41095e-10
1240000;	4.99793e-01;	2.53409e-04;	8.32598e-02;	6.15642e-05;	7.35809e-07;	7.35809e-10
1250000;	4.99836e-01;	2.54970e-04;	8.32596e-02;	6.10700e-05;	7.30354e-07;	7.30354e-10
1260000;	4.99807e-01;	2.54582e-04;	8.32642e-02;	6.07585e-05;	7.25150e-07;	7.25150e-10
1270000;	4.99830e-01;	2.53661e-04;	8.32656e-02;	6.02936e-05;	7.19893e-07;	7.19893e-10
1280000;	4.99863e-01;	2.53744e-04;	8.32583e-02;	6.02598e-05;	7.14564e-07;	7.14564e-10
1290000;	4.99851e-01;	2.52031e-04;	8.32575e-02;	5.97960e-05;	7.09368e-07;	7.09368e-10
1300000;	4.99873e-01;	2.51067e-04;	8.32601e-02;	5.93919e-05;	7.04158e-07;	7.04158e-10
1310000;	4.99876e-01;	2.49153e-04;	8.32678e-02;	5.94283e-05;	6.99018e-07;	6.99018e-10
1320000;	4.99891e-01;	2.47716e-04;	8.32790e-02;	6.00317e-05;	6.93903e-07;	6.93903e-10
1330000;	4.99915e-01;	2.47031e-04;	8.32880e-02;	6.02658e-05;	6.88795e-07;	6.88795e-10
1340000;	4.99946e-01;	2.47120e-04;	8.32801e-02;	6.03396e-05;	6.83699e-07;	6.83699e-10
1350000;	4.99937e-01;	2.45455e-04;	8.32849e-02;	6.00826e-05;	6.78694e-07;	6.78694e-10
1360000;	4.99974e-01;	2.46475e-04;	8.32745e-02;	6.05404e-05;	6.73713e-07;	6.73713e-10
1370000;	4.99934e-01;	2.47892e-04;	8.32878e-02;	6.15578e-05;	6.68859e-07;	6.68859e-10
1380000;	4.99957e-01;	2.47128e-04;	8.32844e-02;	6.12068e-05;	6.64040e-07;	6.64040e-10
1390000;	4.99931e-01;	2.46669e-04;	8.32887e-02;	6.09167e-05;	6.59331e-07;	6.59331e-10
1400000;	4.99915e-01;	2.45435e-04;	8.32882e-02;	6.04816e-05;	6.54725e-07;	6.54725e-10
1410000;	4.99893e-01;	2.44671e-04;	8.32930e-02;	6.02404e-05;	6.50243e-07;	6.50243e-10
1420000;	4.99928e-01;	2.45449e-04;	8.33028e-02;	6.06088e-05;	6.45737e-07;	6.45737e-10
1430000;	4.99948e-01;	2.44525e-04;	8.32925e-02;	6.10621e-05;	6.41260e-07;	6.41260e-10
1440000;	4.99961e-01;	2.43190e-04;	8.32950e-02;	6.06904e-05;	6.36827e-07;	6.36827e-10
1450000;	4.99961e-01;	2.41507e-04;	8.32984e-02;	6.03641e-05;	6.32457e-07;	6.32457e-10
1460000;	4.99973e-01;	2.40134e-04;	8.32973e-02;	5.99591e-05;	6.28135e-07;	6.28135e-10
1470000;	4.99986e-01;	2.38898e-04;	8.33069e-02;	6.03134e-05;	6.23865e-07;	6.23865e-10
1480000;	4.99997e-01;	2.37498e-04;	8.33074e-02;	5.99069e-05;	6.19649e-07;	6.19649e-10
1490000;	5.00002e-01;	2.35951e-04;	8.33032e-02;	5.96489e-05;	6.15491e-07;	6.15491e-10
1500000;	5.00034e-01;	2.36619e-04;	8.33059e-02;	5.93108e-05;	6.11403e-07;	6.11403e-10
1510000;	5.00003e-01;	2.37075e-04;	8.33032e-02;	5.89797e-05;	6.07354e-07;	6.07354e-10
1520000;	5.00018e-01;	2.36001e-04;	8.33006e-02;	5.86469e-05;	6.03363e-07;	6.03363e-10
1530000;	5.00047e-01;	2.36237e-04;	8.33028e-02;	5.83028e-05;	5.99449e-07;	5.99449e-10
1540000;	5.00056e-01;	2.34869e-04;	8.33084e-02;	5.81917e-05;	5.95597e-07;	5.95597e-10
1550000;	5.00074e-01;	2.34045e-04;	8.33045e-02;	5.79439e-05;	5.91826e-07;	5.91826e-10
1560000;	5.00092e-01;	2.33195e-04;	8.33048e-02;	5.75721e-05;	5.88141e-07;	5.88141e-10
1570000;	5.00093e-01;	2.31707e-04;	8.33049e-02;	5.72043e-05;	5.84504e-07;	5.84504e-10
1580000;	5.00120e-01;	2.31765e-04;	8.33008e-02;	5.69922e-05;	5.80986e-07;	5.80986e-10
1590000;	5.00116e-01;	2.30336e-04;	8.33079e-02;	5.70776e-05;	5.77500e-07;	5.77500e-10
1600000;	5.00121e-01;	2.28960e-04;	8.33031e-02;	5.69196e-05;	5.74074e-07;	5.74074e-10
1610000;	5.00124e-01;	2.27551e-04;	8.33025e-02;	5.65684e-05;	5.70700e-07;	5.70700e-10
1620000;	5.00144e-01;	2.26980e-04;	8.32966e-02;	5.65311e-05;	5.67431e-07;	5.67431e-10
1630000;	5.00149e-01;	2.25651e-04;	8.32936e-02;	5.62597e-05;	5.64223e-07;	5.64223e-10
1640000;	5.00132e-01;	2.24911e-04;	8.32900e-02;	5.60351e-05;	5.60995e-07;	5.60995e-10
1650000;	5.00155e-01;	2.24741e-04;	8.32880e-02;	5.57289e-05;	5.57887e-07;	5.57887e-10
1660000;	5.00167e-01;	2.23688e-04;	8.32937e-02;	5.56775e-05;	5.54862e-07;	5.54862e-10
1670000;	5.00177e-01;	2.22553e-04;	8.32939e-02;	5.53437e-05;	5.51913e-07;	5.51913e-10
1680000;	5.00177e-01;	2.21224e-04;	8.32862e-02;	5.55439e-05;	5.49001e-07;	5.49001e-10
1690000;	5.00186e-01;	2.20107e-04;	8.32884e-02;	5.52561e-05;	5.46162e-07;	5.46162e-10
1700000;	5.00194e-01;	2.18950e-04;	8.32913e-02;	5.50085e-05;	5.43392e-07;	5.43392e-10
1710000;	5.00195e-01;	2.17667e-04;	8.32949e-02;	5.48054e-05;	5.40659e-07;	5.40659e-10
1720000;	5.00219e-01;	2.17696e-04;	8.32882e-02;	5.49057e-05;	5.38072e-07;	5.38072e-10
1730000;	5.00239e-01;	2.17380e-04;	8.32874e-02;	5.45926e-05;	5.35622e-07;	5.35622e-10
1740000;	5.00255e-01;	2.16715e-04;	8.32801e-02;	5.47714e-05;	5.33290e-07;	5.33290e-10
1750000;	5.00257e-01;	2.15480e-04;	8.32811e-02;	5.44666e-05;	5.30995e-07;	5.30995e-10
1760000;	5.00249e-01;	2.14371e-04;	8.32830e-02;	5.41903e-05;	5.28685e-07;	5.28685e-10
1770000;	5.00264e-01;	2.13644e-04;	8.32825e-02;	5.38858e-05;	5.26485e-07;	5.26485e-10
1780000;	5.00226e-01;	2.15847e-04;	8.32861e-02;	5.37072e-05;	5.24099e-07;	5.24099e-10
1790000;	5.00242e-01;	2.15269e-04;	8.32843e-02;	5.34392e-05;	5.21826e-07;	5.21826e-10
1800000;	5.00248e-01;	2.14146e-04;	8.32855e-02;	5.31550e-05;	5.19610e-07;	5.19610e-10
1810000;	5.00223e-01;	2.14439e-04;	8.32828e-02;	5.29277e-05;	5.17287e-07;	5.17287e-10
1820000;	5.00242e-01;	2.14108e-04;	8.32788e-02;	5.27840e-05;	5.15087e-07;	5.15087e-10
1830000;	5.00222e-01;	2.13856e-04;	8.32796e-02;	5.25008e-05;	5.12810e-07;	5.12810e-10
1840000;	5.00186e-01;	2.15782e-04;	8.32821e-02;	5.22707e-05;	5.10397e-07;	5.10397e-10
1850000;	5.00192e-01;	2.14697e-04;	8.32744e-02;	5.25559e-05;	5.08035e-07;	5.08035e-10
1860000;	5.00171e-01;	2.14548e-04;	8.32765e-02;	5.23169e-05;	5.05617e-07;	5.05617e-10
1870000;	5.00202e-01;	2.15709e-04;	8.32772e-02;	5.20411e-05;	5.03351e-07;	5.03351e-10
1880000;	5.00225e-01;	2.15805e-04;	8.32796e-02;	5.18198e-05;	5.01214e-07;	5.01214e-10
1890000;	5.00240e-01;	2.15122e-04;	8.32753e-02;	5.17286e-05;	4.99170e-07;	4.99170e-10
1900000;	5.00249e-01;	2.14184e-04;	8.32793e-02;	5.16134e-05;	4.97193e-07;	4.97193e-10
1910000;	5.00218e-01;	2.15231e-04;	8.32779e-02;	5.13618e-05;	4.95089e-07;	4.95089e-10
1920000;	5.00227e-01;	2.14303e-04;	8.32769e-02;	5.11026e-05;	4.93049e-07;	4.93049e-10
1930000;	5.00242e-01;	2.13700e-04;	8.32778e-02;	5.08442e-05;	4.91102e-07;	4.91102e-10
1940000;	5.00244e-01;	2.12602e-04;	8.32782e-02;	5.05831e-05;	4.89183e-07;	4.89183e-10
1950000;	5.00245e-01;	2.11513e-04;	8.32836e-02;	5.06159e-05;	4.87291e-07;	4.87291e-10
1960000;	5.00214e-01;	2.12663e-04;	8.32866e-02;	5.04475e-05;	4.85273e-07;	4.85273e-10
1970000;	5.00225e-01;	2.11848e-04;	8.32926e-02;	5.05389e-05;	4.83324e-07;	4.83324e-10
1980000;	5.00256e-01;	2.12981e-04;	8.32847e-02;	5.08979e-05;	4.81543e-07;	4.81543e-10
1990000;	5.00241e-01;	2.12403e-04;	8.32855e-02;	5.06484e-05;	4.79707e-07;	4.79707e-10
2000000;	5.00230e-01;	2.11608e-04;	8.32858e-02;	5.03956e-05;	4.77840e-07;	4.77840e-10
2010000;	5.00231e-01;	2.10554e-04;	8.32889e-02;	5.02347e-05;	4.75993e-07;	4.75993e-10
2020000;	5.00233e-01;	2.09518e-04;	8.32858e-02;	5.00772e-05;	4.74174e-07;	4.74174e-10
2030000;	5.00230e-01;	2.08511e-04;	8.32902e-02;	5.00198e-05;	4.72358e-07;	4.72358e-10
2040000;	5.00228e-01;	2.07492e-04;	8.32926e-02;	4.98335e-05;	4.70552e-07;	4.70552e-10
2050000;	5.00229e-01;	2.06478e-04;	8.32955e-02;	4.96731e-05;	4.68767e-07;	4.68767e-10
2060000;	5.00201e-01;	2.07368e-04;	8.32937e-02;	4.94622e-05;	4.66883e-07;	4.66883e-10
2070000;	5.00199e-01;	2.06373e-04;	8.32891e-02;	4.94456e-05;	4.65010e-07;	4.65010e-10
2080000;	5.00210e-01;	2.05705e-04;	8.32872e-02;	4.92408e-05;	4.63200e-07;	4.63200e-10
2090000;	5.00193e-01;	2.05495e-04;	8.32897e-02;	4.90656e-05;	4.61338e-07;	4.61338e-10
2100000;	5.00184e-01;	2.04712e-04;	8.32862e-02;	4.89557e-05;	4.59462e-07;	4.59462e-10
2110000;	5.00188e-01;	2.03783e-04;	8.32836e-02;	4.87946e-05;	4.57619e-07;	4.57619e-10
