Numero_Lanci;Valore_Integrale
139899;0.997981
139999;0.99798
140099;0.997965
140199;0.997906
140299;0.997888
140399;0.997858
140499;0.997778
140599;0.997745
140699;0.997799
140799;0.997845
140899;0.997893
140999;0.997915
141099;0.997847
141199;0.997757
141299;0.997744
141399;0.997709
141499;0.99774
141599;0.997729
141699;0.997787
141799;0.99777
141899;0.997714
141999;0.997745
142099;0.997755
142199;0.997732
142299;0.997746
142399;0.997757
142499;0.997767
142599;0.997745
142699;0.997746
142799;0.997729
142899;0.997781
142999;0.997799
143099;0.997761
143199;0.997774
143299;0.997814
143399;0.997788
143499;0.997758
143599;0.997755
143699;0.997803
143799;0.997791
143899;0.997849
143999;0.997879
144099;0.997921
144199;0.997896
144299;0.997892
144399;0.997869
144499;0.997861
144599;0.997918
144699;0.997884
144799;0.997865
144899;0.997855
144999;0.997862
145099;0.997841
145199;0.997804
145299;0.997868
145399;0.997908
145499;0.997952
145599;0.997958
145699;0.997947
145799;0.997916
145899;0.997943
145999;0.997921
146099;0.997908
146199;0.997934
146299;0.997958
146399;0.997944
146499;0.997962
146599;0.997949
146699;0.998003
146799;0.998012
146899;0.998015
146999;0.997979
147099;0.998043
147199;0.998049
147299;0.998045
147399;0.998011
147499;0.998044
147599;0.99805
147699;0.998092
147799;0.998105
147899;0.998142
147999;0.998108
148099;0.998178
148199;0.99814
148299;0.998125
148399;0.998118
148499;0.998083
148599;0.998023
148699;0.997992
148799;0.998005
148899;0.998074
148999;0.9981
149099;0.99808
149199;0.998116
149299;0.998103
149399;0.99806
149499;0.998104
149599;0.998107
149699;0.998109
149799;0.998082
149899;0.998108
149999;0.998137
150099;0.998157
150199;0.998192
150299;0.998231
150399;0.998248
150499;0.998308
150599;0.99832
150699;0.998345
150799;0.99829
150899;0.998312
150999;0.998319
151099;0.998322
151199;0.998286
151299;0.998335
151399;0.998328
151499;0.998341
151599;0.998438
151699;0.998468
151799;0.998446
151899;0.998428
151999;0.998435
152099;0.998471
152199;0.99849
152299;0.998495
152399;0.998536
152499;0.9985
152599;0.998403
152699;0.998389
152799;0.998385
152899;0.998391
152999;0.998403
153099;0.998439
153199;0.99844
153299;0.998442
153399;0.998468
153499;0.998468
153599;0.99848
153699;0.998517
153799;0.998548
153899;0.998552
153999;0.998525
154099;0.998508
154199;0.998477
154299;0.998483
154399;0.998522
154499;0.998515
154599;0.998513
